name,sex,count
Adeel,M,283
Adeem,M,5
Adeen,M,5
Adeena,F,316
Adein,M,35
Adeja,F,123
Adejah,F,30
Adekemi,F,5
Adekunle,M,61
Adel,F,1258
Adela,F,11842
Adelade,F,39
Adelae,F,124
Adelah,F,5
Adelai,F,136
Adelaid,F,5
Adelaida,F,2522
Adelaide,F,22451
Adelaido,M,221
Adelaina,F,11
Adelaine,F,292
Adelais,F,10
Adelane,F,5
Adelard,M,488
Adelay,F,27
Adelayda,F,14
Adelayde,F,38
Adelayne,F,6
Adelbert,M,2373
Adele,F,38363
Adelean,F,5
Adelee,F,64
Adelei,F,80
Adeleigh,F,91
Adeleine,F,177
Adeleke,M,5
Adelena,F,175
Adelene,F,1039
Adeley,F,14
Adelfa,F,345
Adelfina,F,6
Adelfo,M,63
Adelheid,F,82
Adeli,F,51
Adelia,F,4753
Adeliah,F,9
Adelice,F,5
Adelicia,F,49
Adelie,F,343
Adelin,F,297
Adelina,F,9025
Adelinah,F,11
Adelind,F,19
Adeline,F,44734
Adelinn,F,12
Adelinne,F,10
Adelino,M,53
Adelis,F,56
Adelisa,F,141
Adelise,F,99
Adelita,F,1626
Adeliz,F,69
Adell,F,6130
Adella,F,5229
Adelle,F,4911
Adellia,F,5
Adellyn,F,46
Adellynn,F,6
Adelma,F,113
Adelmira,F,26
Adelmo,M,13
Adelore,M,5
Adelphia,F,11
Adely,F,97
Adelya,F,5
Adelyn,F,9627
Adelyna,F,58
Adelyne,F,508
Adelynn,F,4783
Adelynne,F,370
Adelys,F,5
Adem,M,768
Ademar,M,6
Ademide,M,21
Ademir,M,23
Ademola,M,116
Aden,M,16767
Adena,F,1636
Adene,F,44
Adenike,F,220
Adeniyi,M,20
Adenn,M,12
Adeola,F,317
Adeolu,M,10
Adeoluwa,M,42
Adeon,M,6
Ader,F,233
Adera,F,5
Aderemi,M,6
Aderinsola,F,21
Adero,F,5
Aderonke,F,23
Aderyn,F,34
Adesh,M,23
Adesha,F,5
Adesina,F,5
Adesola,F,16
Adessa,F,312
Adesuwa,F,93
Adetayo,M,12
Adetokunbo,M,84
Adetola,M,5
Adeva,F,5
Adewale,M,137
Adeyemi,M,102
Adeyinka,F,5
Adger,M,92
Adgie,F,7
Adham,M,636
Adhara,F,14
Adharsh,M,16
Adhav,M,24
Adheesh,M,5
Adhem,M,11
Adhemar,M,36
Adhira,F,42
Adhiraj,M,6
Adhithi,F,24
Adhithya,M,6
Adhitya,M,12
Adhley,F,7
Adhrit,M,134
Adhrith,M,19
Adhvaith,M,23
Adhvik,M,81
Adhvika,F,7
Adhya,F,201
Adi,F,686
Adia,F,2522
Adiah,F,120
Adiam,F,18
Adian,M,946
Adiana,F,277
Adianez,F,58
Adianna,F,193
Adib,M,193
